 Nom Ville 	MAJ   	 Latitude 	 Longitude 
 Dussac 	DUSSAC   	45.4	1.083333
 Échourgnac 	ECHOURGNAC   	45.116667	0.233333
 Église-Neuve-de-Vergt 	EGLISE NEUVE DE VERGT	45.083333	0.75
 Église-Neuve-d'Issac 	EGLISE NEUVE D ISSAC	44.983333	0.433333
 Escoire 	ESCOIRE   	45.2	0.85
 Étouars 	ETOUARS   	45.6	0.633333
 Excideuil 	EXCIDEUIL   	45.333333	1.05
 Eygurande-et-Gardedeuil 	EYGURANDE ET GARDEDEUIL 	45.066667	0.133333
 Eyliac 	EYLIAC   	45.166667	0.866667
 Eymet 	EYMET   	44.666667	0.4
 Plaisance 	PLAISANCE   	44.708333	0.566667
 Eyvirat 	EYVIRAT   	45.316667	0.75
 Eyzerac 	EYZERAC   	45.383333	0.916667
 Falgueyrat 	FALGUEYRAT   	44.683333	0.55
 Fanlac 	FANLAC   	45.066667	1.1
 Les Farges 	LES FARGES  	45.116667	1.2
 Faurilles 	FAURILLES   	44.7	0.7
 Festalemps 	FESTALEMPS   	45.233333	0.233333
 La Feuillade 	LA FEUILLADE  	45.116667	1.4
 Firbeix 	FIRBEIX   	45.6	0.966667
 Flaugeac 	FLAUGEAC   	44.75	0.45
 Le Fleix 	LE FLEIX  	44.866667	0.25
 Fleurac 	FLEURAC   	45.016667	1
 Fongalop 	FONGALOP   	44.716667	0.966667
 Fonroque 	FONROQUE   	44.7	0.416667
 Fossemagne 	FOSSEMAGNE   	45.133333	0.983333
 Fougueyrolles 	FOUGUEYROLLES   	44.866667	0.166667
 Fouleix 	FOULEIX   	44.983333	0.683333
 Fraisse 	FRAISSE   	44.933333	0.3
 Gabillou 	GABILLOU   	45.2	1.033333
 Gageac-et-Rouillac 	GAGEAC ET ROUILLAC 	44.8	0.341667
 Gardonne 	GARDONNE   	44.833333	0.35
 Gaugeac 	GAUGEAC   	44.666667	0.883333
 Génis 	GENIS   	45.316667	1.166667
 Ginestet 	GINESTET   	44.916667	0.433333
 La Gonterie-Boulouneix 	LA GONTERIE BOULOUNEIX 	45.383333	0.6
 Grand Brassac 	GRAND BRASSAC  	45.283333	0.483333
 Grand-Castang 	GRAND CASTANG  	44.9	0.75
 Granges-d'Ans 	GRANGES D ANS 	45.216667	1.116667
 Les Graulges 	LES GRAULGES  	45.5	0.45
 Grèzes 	GREZES   	45.1	1.366667
 Grives 	GRIVES   	44.766667	1.083333
 Groléjac 	GROLEJAC   	44.816667	1.3
 Hautefaye 	HAUTEFAYE   	45.533333	0.483333
 Hautefort 	HAUTEFORT   	45.25	1.15
 Issac 	ISSAC   	45.016667	0.45
 Issigeac 	ISSIGEAC   	44.733333	0.6
 Jayac 	JAYAC   	45.033333	1.333333
 La Jemaye 	LA JEMAYE  	45.166667	0.25
 Journiac 	JOURNIAC   	44.966667	0.9
 Jumilhac-le-Grand 	JUMILHAC LE GRAND 	45.483333	1.066667
 Labouquerie 	LABOUQUERIE   	44.733333	0.8
 Lacropte 	LACROPTE   	45.041667	0.833333
 Rudeau-Ladosse 	RUDEAU LADOSSE  	45.483333	0.5
 La Force 	LA FORCE  	44.866667	0.366667
 Lalinde 	LALINDE   	44.833333	0.733333
 Lamonzie-Montastruc 	LAMONZIE MONTASTRUC  	44.9	0.583333
 Lamonzie-Saint-Martin 	LAMONZIE SAINT MARTIN 	44.85	0.383333
 Lamothe-Montravel 	LAMOTHE MONTRAVEL  	44.85	0.033333
 Lanouaille 	LANOUAILLE   	45.383333	1.133333
 Lanquais 	LANQUAIS   	44.816667	0.666667
 Larzac 	LARZAC   	44.75	1
 Lavaur 	LAVAUR   	44.6	1.033333
 Les Lèches 	LES LECHES  	44.983333	0.383333
 Lembras 	LEMBRAS   	44.883333	0.533333
 Lempzours 	LEMPZOURS   	45.366667	0.816667
 Ligueux 	LIGUEUX   	45.3	0.816667
 Limeuil 	LIMEUIL   	44.883333	0.9
 Limeyrat 	LIMEYRAT   	45.166667	0.983333
 Lisle 	LISLE   	45.283333	0.55
 Lolme 	LOLME   	44.716667	0.85
 Loubejac 	LOUBEJAC   	44.583333	1.1
 Lunas 	LUNAS   	44.916667	0.4
 Lusignac 	LUSIGNAC   	45.316667	0.3
 Lussas-et-Nontronneau 	LUSSAS ET NONTRONNEAU 	45.5	0.583333
 Manaurie 	MANAURIE   	44.966667	0.983333
 Mandacou 	MANDACOU   	44.7	0.55
 Manzac-sur-Vern 	MANZAC SUR VERN 	45.083333	0.583333
 Marcillac-Saint-Quentin 	MARCILLAC SAINT QUENTIN 	44.966667	1.233333
 Marnac 	MARNAC   	44.833333	1.016667
 Marquay 	MARQUAY   	44.95	1.15
 Marsalès 	MARSALES   	44.7	0.9
 Marsaneix 	MARSANEIX   	45.1	0.783333
 Maurens 	MAURENS   	44.933333	0.483333
 Mauzac-et-Grand-Castang 	MAUZAC ET GRAND CASTANG	44.866667	0.783333
 Mauzens-et-Miremont 	MAUZENS ET MIREMONT 	45	0.916667
 Mayac 	MAYAC   	45.283333	0.933333
 Mazeyrolles 	MAZEYROLLES   	44.666667	1.016667
 Ménesplet 	MENESPLET   	45.016667	0.116667
 Mensignac 	MENSIGNAC   	45.216667	0.566667
 Mescoulès 	MESCOULES   	44.75	0.416667
 Meyrals 	MEYRALS   	44.9	1.05
 Mialet 	MIALET   	45.55	0.9
 Milhac-d'Auberoche 	MILHAC D AUBEROCHE 	45.116667	0.916667
 Milhac-de-Nontron 	MILHAC DE NONTRON 	45.466667	0.783333
 Minzac 	MINZAC   	44.966667	0.05
 Molières 	MOLIERES   	44.8	0.833333
 Monbazillac 	MONBAZILLAC   	44.783333	0.5
 Monbos 	MONBOS   	44.733333	0.383333
 Monestier 	MONESTIER   	44.766667	0.316667
 Monfaucon 	MONFAUCON   	44.916667	0.241667
 Monmadalès 	MONMADALES   	44.766667	0.616667
 Monmarvès 	MONMARVES   	44.7	0.6
 Monpazier 	MONPAZIER   	44.683333	0.9
 Monsac 	MONSAC   	44.783333	0.7
 Monsaguel 	MONSAGUEL   	44.733333	0.583333
 Monsec 	MONSEC   	45.416667	0.533333
 Montagnac-d'Auberoche 	MONTAGNAC D AUBEROCHE 	45.183333	0.95
 Montagnac-la-Crempse 	MONTAGNAC LA CREMPSE 	44.983333	0.55
 Montagrier 	MONTAGRIER   	45.266667	0.483333
 Montazeau 	MONTAZEAU   	44.883333	0.15
 Montcaret 	MONTCARET   	44.85	0.066667
 Montferrand-du-Périgord 	MONTFERRAND DU PERIGORD 	44.75	0.866667
 Montpeyroux 	MONTPEYROUX   	44.916667	0.066667
 Monplaisant 	MONPLAISANT   	44.783333	0.983333
 Montpon-Ménestérol 	MONTPON MENESTEROL  	45	0.166667
 Montrem 	MONTREM   	45.133333	0.6
 Mouleydier 	MOULEYDIER   	44.85	0.6
 Moulin-Neuf 	MOULIN NEUF  	45.016667	0.066667
 Mouzens 	MOUZENS   	44.85	1
 Mussidan 	MUSSIDAN   	45.033333	0.366667
 Nabirat 	NABIRAT   	44.75	1.283333
 Nailhac 	NAILHAC   	45.216667	1.133333
 Nantheuil 	NANTHEUIL   	45.416667	0.95
 Nanthiat 	NANTHIAT   	45.4	0.983333
 Nastringues 	NASTRINGUES   	44.866667	0.166667
 Naussannes 	NAUSSANNES   	44.75	0.733333
 Négrondes 	NEGRONDES   	45.35	0.866667
 Neuvic 	NEUVIC   	45.1	0.466667
 Nontron 	NONTRON   	45.533333	0.666667
 Notre-Dame-de-Sanilhac 	NOTRE DAME DE SANILHAC	45.116667	0.716667
 Orliac 	ORLIAC   	44.716667	1.066667
 Orliaguet 	ORLIAGUET   	44.916667	1.35
 Paleyrac 	PALEYRAC   	44.816667	0.916667
 Parcoul 	PARCOUL   	45.2	0.033333
 Paulin 	PAULIN   	45	1.333333
 Paunat 	PAUNAT   	44.9	0.866667
 Paussac-et-Saint-Vivien 	PAUSSAC ET SAINT VIVIEN	45.35	0.533333
 Pazayac 	PAZAYAC   	45.116667	1.366667
 Périgueux 	PERIGUEUX   	45.183333	0.716667
 Petit-Bersac 	PETIT BERSAC  	45.283333	0.233333
 Peyrignac 	PEYRIGNAC   	45.15	1.166667
 Peyrillac-et-Millac 	PEYRILLAC ET MILLAC 	44.883333	1.4
 Peyzac-le-Moustier 	PEYZAC LE MOUSTIER 	44.983333	1.083333
 Pézuls 	PEZULS   	44.916667	0.816667
 Piégut-Pluviers 	PIEGUT PLUVIERS  	45.616667	0.683333
 Le Pizou 	LE PIZOU  	45.016667	0.066667
 Plazac 	PLAZAC   	45.033333	1.05
 Pomport 	POMPORT   	44.783333	0.416667
 Ponteyraud 	PONTEYRAUD   	45.2	0.233333
 Pontours 	PONTOURS   	44.833333	0.766667
 Prats-de-Carlux 	PRATS DE CARLUX 	44.9	1.3
 Prats-du-Périgord 	PRATS DU PERIGORD 	44.683333	1.066667
 Preyssac-d'Excideuil 	PREYSSAC D EXCIDEUIL 	45.333333	1.1
 Prigonrieux 	PRIGONRIEUX   	44.85	0.4
 Proissans 	PROISSANS   	44.933333	1.233333
 Puyguilhem 	PUYGUILHEM   	44.733333	0.35
 Puymangou 	PUYMANGOU   	45.2	0.083333
 Puyrenier 	PUYRENIER   	45.483333	0.466667
 Queyssac 	QUEYSSAC   	44.9	0.55
 Quinsac 	QUINSAC   	45.433333	0.7
 Rampieux 	RAMPIEUX   	44.716667	0.8
 Razac-d'Eymet 	RAZAC D EYMET 	44.683333	0.483333
 Razac-de-Saussignac 	RAZAC DE SAUSSIGNAC 	44.8	0.283333
 Razac-sur-l'Isle 	RAZAC SUR L ISLE	45.166667	0.616667
 Ribagnac 	RIBAGNAC   	44.766667	0.5
 Ribérac 	RIBERAC   	45.25	0.333333
 La Roche-Chalais 	LA ROCHE CHALAIS 	45.15	0.016667
 La Roque-Gageac 	LA ROQUE GAGEAC 	44.833333	1.2
 Rouffignac-de-Sigoulès 	ROUFFIGNAC DE SIGOULES 	44.783333	0.45
 Sadillac 	SADILLAC   	44.733333	0.483333
 Sagelat 	SAGELAT   	44.783333	1
 Saint-Amand-de-Belvès 	SAINT AMAND DE BELVES	44.766667	1.033333
 Saint-Amand-de-Coly 	SAINT AMAND DE COLY	45.066667	1.266667
 Saint-Amand-de-Vergt 	SAINT AMAND DE VERGT	44.983333	0.7
 Saint-André-d'Allas 	SAINT ANDRE D ALLAS	44.883333	1.183333
 Saint-André-de-Double 	SAINT ANDRE DE DOUBLE	45.15	0.316667
 Saint-Antoine-Cumond 	SAINT ANTOINE CUMOND 	45.266667	0.2
 Saint-Antoine-d'Auberoche 	SAINT ANTOINE D AUBEROCHE	45.15	0.95
 Saint-Antoine-de-Breuilh 	SAINT ANTOINE DE BREUILH	44.833333	0.166667
 Saint-Aquilin 	SAINT AQUILIN  	45.183333	0.5
 Saint-Aubin-de-Cadelech 	SAINT AUBIN DE CADELECH	44.683333	0.5
 Saint-Aubin-de-Lanquais 	SAINT AUBIN DE LANQUAIS	44.783333	0.583333
 Saint-Aubin-de-Nabirat 	SAINT AUBIN DE NABIRAT	44.733333	1.266667
 Saint-Aulaye 	SAINT AULAYE  	45.2	0.133333
 Saint-Avit-de-Vialard 	SAINT AVIT DE VIALARD	44.95	0.883333
 Saint-Avit-Rivière 	SAINT AVIT RIVIERE 	44.75	0.883333
 Saint-Avit-Sénieur 	SAINT AVIT SENIEUR 	44.766667	0.816667
 Saint-Barthélemy-de-Bussière 	SAINT BARTHELEMY DE BUSSIERE	45.633333	0.75
 Saint-Capraise-de-Lalinde 	SAINT CAPRAISE DE LALINDE	44.85	0.65
 Saint-Capraise-d'Eymet 	SAINT CAPRAISE D EYMET	44.7	0.5
 Saint-Cassien 	SAINT CASSIEN  	44.683333	0.85
 Saint-Cernin-de-Labarde 	SAINT CERNIN DE LABARDE	44.766667	0.566667
 Saint-Cernin-de-l'Herm 	SAINT CERNIN DE L	44.633333	1.033333
 Saint-Cernin-de-Reillac 	SAINT CERNIN DE REILLAC	45.033333	0.966667
 Saint-Chamassy 	SAINT CHAMASSY  	44.866667	0.916667
 Saint-Cirq 	SAINT CIRQ  	44.933333	0.95
 Saint-Crépin-d'Auberoche 	SAINT CREPIN D AUBEROCHE	45.133333	0.9
 Saint-Crépin-de-Richemont 	SAINT CREPIN DE RICHEMONT	45.416667	0.6
 Saint-Crépin-et-Carlucet 	SAINT CREPIN ET CARLUCET	44.966667	1.266667
 Sainte-Croix-de-Mareuil 	SAINTE CROIX DE MAREUIL	45.466667	0.433333
 Saint-Cybranet 	SAINT CYBRANET  	44.783333	1.183333
 Saint-Cyprien 	SAINT CYPRIEN  	44.866667	1.033333
 Saint-Cyr-les-Champagnes 	SAINT CYR LES CHAMPAGNES	45.383333	1.283333
 Saint-Étienne-de-Puycorbier 	SAINT ETIENNE DE PUYCORBIER	45.1	0.333333
 Sainte-Eulalie-d'Ans 	SAINTE EULALIE D ANS	45.25	1.016667
 Sainte-Eulalie-d'Eymet 	SAINTE EULALIE D EYMET	44.7	0.366667
 Saint-Félix-de-Bourdeilles 	SAINT FELIX DE BOURDEILLES	45.416667	0.566667
 Saint-Félix-de-Reillac-et-Mortemart 	SAINT FELIX DE REILLAC	45.033333	0.916667
 Saint-Félix-de-Villadeix 	SAINT FELIX DE VILLADEIX	44.916667	0.683333
 Sainte-Foy-de-Belvès 	SAINTE FOY DE BELVES	44.733333	1.05
 Sainte-Foy-de-Longas 	SAINTE FOY DE LONGAS	44.933333	0.75
 Saint-Front-d'Alemps 	SAINT FRONT D ALEMPS	45.316667	0.783333
 Saint-Front-de-Pradoux 	SAINT FRONT DE PRADOUX	45.05	0.35
 Saint-Front-la-Rivière 	SAINT FRONT LA RIVIERE	45.466667	0.733333
 Saint-Front-sur-Nizonne 	SAINT FRONT SUR NIZONNE	45.483333	0.633333
 Saint-Geniès 	SAINT GENIES  	45	1.25
 Saint-Géraud-de-Corps 	SAINT GERAUD DE CORPS	44.95	0.216667
 Saint-Germain-de-Belvès 	SAINT GERMAIN DE BELVES	44.8	1.033333
 Saint-Germain-des-Prés 	SAINT GERMAIN DES PRES	45.333333	0.983333
 Saint-Germain-du-Salembre 	SAINT GERMAIN DU SALEMBRE	45.133333	0.45
 Saint-Germain-et-Mons 	SAINT GERMAIN ET MONS	44.841667	0.591667
 Saint-Géry 	SAINT GERY  	44.983333	0.316667
 Saint-Geyrac 	SAINT GEYRAC  	45.1	0.933333
 Saint-Hilaire-d'Estissac 	SAINT HILAIRE D ESTISSAC	45.016667	0.516667
 Sainte-Innocence 	SAINTE INNOCENCE  	44.716667	0.4
 Saint-Jean-de-Côle 	SAINT JEAN DE COLE	45.416667	0.833333
 Saint-Jean-d'Estissac 	SAINT JEAN D ESTISSAC	45.033333	0.516667
 Saint-Jean-d'Eyraud 	SAINT JEAN D EYRAUD	44.95	0.45
 Saint-Jory-las-Bloux 	SAINT JORY LAS BLOUX	45.366667	0.966667
 Saint-Julien-de-Bourdeilles 	SAINT JULIEN DE BOURDEILLES	45.366667	0.583333
 Saint-Julien-de-Crempse 	SAINT JULIEN DE CREMPSE	44.95	0.533333
 Saint-Julien-de-Lampon 	SAINT JULIEN DE LAMPON	44.866667	1.35
 Saint-Julien-d'Eymet 	SAINT JULIEN D EYMET	44.716667	0.433333
 Saint-Just 	SAINT JUST  	45.333333	0.5
 Saint-Laurent-des-Bâtons 	SAINT LAURENT DES BATONS	44.966667	0.75
 Saint-Laurent-des-Hommes 	SAINT LAURENT DES HOMMES	45.033333	0.25
 Saint-Laurent-des-Vignes 	SAINT LAURENT DES VIGNES	44.816667	0.45
 Saint-Laurent-la-Vallée 	SAINT LAURENT LA VALLEE	44.75	1.116667
 Saint-Laurent-sur-Manoire 	SAINT LAURENT SUR MANOIRE	45.15	0.8
 Saint-Léon-d'Issigeac 	SAINT LEON D ISSIGEAC	44.716667	0.683333
 Saint-Léon-sur-l'Isle 	SAINT LEON SUR L	45.116667	0.5
 Saint-Léon-sur-Vézère 	SAINT LEON SUR VEZERE	45.016667	1.1
 Saint-Louis-en-l'Isle 	SAINT LOUIS EN L	45.066667	0.4
 Saint-Marcel-du-Périgord 	SAINT MARCEL DU PERIGORD	44.916667	0.716667
 Saint-Marcory 	SAINT MARCORY  	44.716667	0.933333
 Sainte-Marie-de-Chignac 	SAINTE MARIE DE CHIGNAC	45.133333	0.833333
 Saint-Martial-d'Albarède 	SAINT MARTIAL D ALBAREDE	45.333333	1.033333
 Saint-Martial-d'Artenset 	SAINT MARTIAL D ARTENSET	45.016667	0.183333
 Saint-Martial-de-Nabirat 	SAINT MARTIAL DE NABIRAT	44.733333	1.25
 Saint-Martial-de-Valette 	SAINT MARTIAL DE VALETTE	45.516667	0.65
 Saint-Martial-Viveyrol 	SAINT MARTIAL VIVEYROL 	45.35	0.333333
 Saint-Martin-de-Fressengeas 	SAINT MARTIN DE FRESSENGEAS	45.433333	0.85
 Saint-Martin-de-Ribérac 	SAINT MARTIN DE RIBERAC	45.233333	0.35
 Saint-Martin-des-Combes 	SAINT MARTIN DES COMBES	44.95	0.6
 Saint-Martin-l'Astier 	SAINT MARTIN L ASTIER	45.05	0.333333
 Saint-Martin-le-Pin 	SAINT MARTIN LE PIN	45.55	0.616667
 Saint-Méard-de-Gurçon 	SAINT MEARD DE GURCON	44.9	0.183333
 Saint-Médard-de-Mussidan 	SAINT MEDARD DE MUSSIDAN	45.033333	0.35
 Saint-Mesmin 	SAINT MESMIN  	45.35	1.2
 Saint-Michel-de-Double 	SAINT MICHEL DE DOUBLE	45.083333	0.283333
 Saint-Michel-de-Montaigne 	SAINT MICHEL DE MONTAIGNE	44.866667	0.033333
 Saint-Michel-de-Rivière 	SAINT MICHEL DE RIVIERE	45.133333	-0.016667
 Saint-Michel-de-Villadeix 	SAINT MICHEL DE VILLADEIX	44.983333	0.716667
 Sainte-Mondane 	SAINTE MONDANE  	44.85	1.333333
 Sainte-Nathalène 	SAINTE NATHALENE  	44.916667	1.25
 Saint-Nexans 	SAINT NEXANS  	44.8	0.55
 Sainte-Orse 	SAINTE ORSE  	45.2	1.083333
 Saint-Pancrace 	SAINT PANCRACE  	45.433333	0.666667
 Saint-Pantaly-d'Ans 	SAINT PANTALY D ANS	45.25	1
 Saint-Pantaly-d'Excideuil 	SAINT PANTALY D EXCIDEUIL	45.316667	1.016667
 Saint-Pardoux-et-Vielvic 	SAINT PARDOUX ET VIELVIC	44.766667	0.95
 Saint-Pardoux-la-Rivière 	SAINT PARDOUX LA RIVIERE	45.5	0.75
 Saint-Paul-de-Serre 	SAINT PAUL DE SERRE	45.083333	0.616667
 Saint-Paul-la-Roche 	SAINT PAUL LA ROCHE	45.483333	1
 Saint-Paul-Lizonne 	SAINT PAUL LIZONNE 	45.316667	0.266667
 Saint-Perdoux 	SAINT PERDOUX  	44.733333	0.533333
 Saint-Pierre-de-Chignac 	SAINT PIERRE DE CHIGNAC	45.133333	0.85
 Saint-Pierre-de-Côle 	SAINT PIERRE DE COLE	45.366667	0.8
 Saint-Pierre-de-Frugie 	SAINT PIERRE DE FRUGIE	45.583333	1
 Saint-Pierre-d'Eyraud 	SAINT PIERRE D EYRAUD	44.85	0.316667
 Saint-Pompont 	SAINT POMPONT  	44.716667	1.15
 Saint-Priest-les-Fougères 	SAINT PRIEST LES FOUGERES	45.533333	1.016667
 Saint-Privat-des-Prés 	SAINT PRIVAT DES PRES	45.233333	0.216667
 Saint-Rabier 	SAINT RABIER  	45.166667	1.15
 Saint-Raphaël 	SAINT RAPHAEL  	45.3	1.066667
 Saint-Rémy 	SAINT REMY  	44.95	0.166667
 Saint-Romain-de-Monpazier 	SAINT ROMAIN DE MONPAZIER	44.716667	0.883333
 Saint-Romain-et-Saint-Clément 	SAINT ROMAIN ET SAINT	45.433333	0.866667
 Saint-Saud-Lacoussière 	SAINT SAUD LACOUSSIERE 	45.533333	0.816667
 Saint-Sauveur-Lalande 	SAINT SAUVEUR LALANDE 	44.983333	0.233333
 Saint-Seurin-de-Prats 	SAINT SEURIN DE PRATS	44.833333	0.083333
 Saint-Séverin-d'Estissac 	SAINT SEVERIN D ESTISSAC	45.05	0.483333
 Saint-Sulpice-de-Mareuil 	SAINT SULPICE DE MAREUIL	45.466667	0.5
 Saint-Sulpice-de-Roumagnac 	SAINT SULPICE DE ROUMAGNAC	45.2	0.4
 Saint-Sulpice-d'Excideuil 	SAINT SULPICE D EXCIDEUIL	45.383333	1
 Sainte-Trie 	SAINTE TRIE  	45.3	1.183333
 Saint-Victor 	SAINT VICTOR  	45.266667	0.433333
 Saint-Vincent-de-Connezac 	SAINT VINCENT DE CONNEZAC	45.166667	0.4
 Saint-Vincent-de-Cosse 	SAINT VINCENT DE COSSE	44.833333	1.1
 Saint-Vincent-Jalmoutiers 	SAINT VINCENT JALMOUTIERS 	45.2	0.183333
 Saint-Vincent-le-Paluel 	SAINT VINCENT LE PALUEL	44.883333	1.266667
 Saint-Vincent-sur-l'Isle 	SAINT VINCENT SUR L	45.25	0.883333
 Salagnac 	SALAGNAC   	45.316667	1.183333
 Salles-de-Belvès 	SALLES DE BELVES 	44.7	1
 Salon 	SALON   	45.033333	0.783333
 Sarlande 	SARLANDE   	45.45	1.116667
 Sarlat-la-Canéda 	SARLAT LA CANEDA 	44.883333	1.216667
 Sarliac-sur-l'Isle 	SARLIAC SUR L ISLE	45.233333	0.883333
 Sarrazac 	SARRAZAC   	45.433333	1.033333
 Saussignac 	SAUSSIGNAC   	44.816667	0.333333
 Savignac-de-Miremont 	SAVIGNAC DE MIREMONT 	44.966667	0.933333
 Savignac-de-Nontron 	SAVIGNAC DE NONTRON 	45.55	0.716667
 Savignac-Lédrier 	SAVIGNAC LEDRIER  	45.366667	1.216667
 Savignac-les-Églises 	SAVIGNAC LES EGLISES 	45.266667	0.916667
 Sceau-Saint-Angel 	SCEAU SAINT ANGEL 	45.483333	0.7
 Ségonzac 	SEGONZAC   	45.2	0.433333
 Sencenac-Puy-de-Fourches 	SENCENAC PUY DE FOURCHES	45.3	0.7
 Sergeac 	SERGEAC   	45	1.1
 Servanches 	SERVANCHES   	45.15	0.166667
 Sigoulès 	SIGOULES   	44.75	0.416667
 Simeyrols 	SIMEYROLS   	44.9	1.333333
 Singleyrac 	SINGLEYRAC   	44.733333	0.466667
 Siorac-de-Ribérac 	SIORAC DE RIBERAC 	45.183333	0.35
 Siorac-en-Périgord 	SIORAC EN PERIGORD 	44.816667	0.983333
 Sireuil 	SIREUIL   	44.933333	1.066667
 Sorges 	SORGES   	45.3	0.866667
 Soudat 	SOUDAT   	45.616667	0.583333
 Soulaures 	SOULAURES   	44.65	0.916667
 Sourzac 	SOURZAC   	45.05	0.4
 Tamniès 	TAMNIES   	44.966667	1.166667
 Teillots 	TEILLOTS   	45.25	1.216667
 Teyjat 	TEYJAT   	45.583333	0.583333
 Thénac 	THENAC   	44.75	0.333333
 Thenon 	THENON   	45.133333	1.066667
 Thiviers 	THIVIERS   	45.416667	0.916667
 Thonac 	THONAC   	45.016667	1.116667
 Tocane-Saint-Apre 	TOCANE SAINT APRE 	45.25	0.5
 La Tour-Blanche 	LA TOUR BLANCHE 	45.366667	0.45
 Tourtoirac 	TOURTOIRAC   	45.266667	1.066667
 Trélissac 	TRELISSAC   	45.183333	0.783333
 Trémolat 	TREMOLAT   	44.883333	0.833333
 Tursac 	TURSAC   	44.966667	1.033333
 Urval 	URVAL   	44.816667	0.933333
 Valeuil 	VALEUIL   	45.333333	0.616667
 Vallereuil 	VALLEREUIL   	45.066667	0.516667
 Valojoulx 	VALOJOULX   	45.116667	1.15
 Vanxains 	VANXAINS   	45.216667	0.283333
 Varaignes 	VARAIGNES   	45.6	0.533333
 Varennes 	VARENNES   	44.833333	0.666667
 Vaunac 	VAUNAC   	45.366667	0.866667
 Vélines 	VELINES   	44.85	0.116667
 Vendoire 	VENDOIRE   	45.416667	0.3
 Verdon 	VERDON   	44.8	0.633333
 Vergt 	VERGT   	45.016667	0.716667
 Vergt-de-Biron 	VERGT DE BIRON 	44.633333	0.841667
 Verteillac 	VERTEILLAC   	45.35	0.366667
 Veyrignac 	VEYRIGNAC   	44.833333	1.316667
 Veyrines-de-Domme 	VEYRINES DE DOMME 	44.783333	1.116667
 Veyrines-de-Vergt 	VEYRINES DE VERGT 	45	0.783333
 Vézac 	VEZAC   	44.833333	1.183333
 Vieux-Mareuil 	VIEUX MAREUIL  	45.433333	0.5
 Villac 	VILLAC   	45.183333	1.25
 Villamblard 	VILLAMBLARD   	45.016667	0.55
 Villars 	VILLARS   	45.416667	0.75
 Villefranche-du-Périgord 	VILLEFRANCHE DU PERIGORD 	44.633333	1.083333
 Villetoureix 	VILLETOUREIX   	45.266667	0.366667
 Vitrac 	VITRAC   	44.833333	1.25
 Eyrenville 	EYRENVILLE   	44.7	0.566667
 Abbans-Dessous 	ABBANS DESSOUS  	47.133333	5.883333
 Abbans-Dessus 	ABBANS DESSUS  	47.116667	5.883333
 Abbenans 	ABBENANS   	47.5	6.45
 Abbévillers 	ABBEVILLERS   	47.433333	6.916667
 Accolans 	ACCOLANS   	47.5	6.533333
 Adam-lès-Passavant 	ADAM LES PASSAVANT 	47.3	6.366667
 Adam-lès-Vercel 	ADAM LES VERCEL 	47.166667	6.4
 Aibre 	AIBRE   	47.55	6.7
 Aissey 	AISSEY   	47.266667	6.333333
 Alaise 	ALAISE   	47.016667	5.966667
 Allenjoie 	ALLENJOIE   	47.533333	6.9
 Les Alliés 	LES ALLIES  	46.95	6.45
 Allondans 	ALLONDANS   	47.516667	6.75
 Amagney 	AMAGNEY   	47.3	6.15
 Amancey 	AMANCEY   	47.033333	6.083333
 Amathay-Vésigneux 	AMATHAY VESIGNEUX  	47.016667	6.2
 Amondans 	AMONDANS   	47.066667	6.033333
 Anteuil 	ANTEUIL   	47.383333	6.566667
 Arbouans 	ARBOUANS   	47.483333	6.816667
 Arc-et-Senans 	ARC ET SENANS 	47.033333	5.766667
 Arcey 	ARCEY   	47.516667	6.666667
 Arçon 	ARCON   	46.95	6.383333
 Arc-sous-Cicon 	ARC SOUS CICON 	47.05	6.383333
 Arc-sous-Montenot 	ARC SOUS MONTENOT 	46.916667	6
 Arguel 	ARGUEL   	47.2	6
 Athose 	ATHOSE   	47.083333	6.316667
 Aubonne 	AUBONNE   	47.033333	6.333333
 Audeux 	AUDEUX   	47.266667	5.883333
 Audincourt 	AUDINCOURT   	47.483333	6.833333
 Autechaux 	AUTECHAUX   	47.383333	6.383333
 Autechaux-Roide 	AUTECHAUX ROIDE  	47.383333	6.816667
 Auxon-Dessous 	AUXON DESSOUS  	47.3	5.95
 Auxon-Dessus 	AUXON DESSUS  	47.3	5.966667
 Aveney 	AVENEY   	47.2	5.966667
 Avilley 	AVILLEY   	47.433333	6.266667
 Avoudrey 	AVOUDREY   	47.133333	6.433333
 Badevel 	BADEVEL   	47.5	6.933333
 Bannans 	BANNANS   	46.883333	6.233333
 Le Barboux 	LE BARBOUX  	47.116667	6.716667
 Bart 	BART   	47.483333	6.766667
 Bartherans 	BARTHERANS   	47.033333	5.933333
 Battenans-les-Mines 	BATTENANS LES MINES 	47.416667	6.266667
 Baume-les-Dames 	BAUME LES DAMES 	47.35	6.366667
 Bavans 	BAVANS   	47.483333	6.733333
 Belfays 	BELFAYS   	47.266667	6.9
 Le Bélieu 	LE BELIEU  	47.116667	6.633333
 Belleherbe 	BELLEHERBE   	47.266667	6.666667
 Belvoir 	BELVOIR   	47.316667	6.6
 Berche 	BERCHE   	47.466667	6.75
 Berthelange 	BERTHELANGE   	47.2	5.783333
 Besançon 	BESANCON   	47.25	6.033333
 Bethoncourt 	BETHONCOURT   	47.533333	6.8
 Beure 	BEURE   	47.2	6
 Beutal 	BEUTAL   	47.466667	6.65
 Bians-les-Usiers 	BIANS LES USIERS 	46.966667	6.266667
